,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,,40.76,46.15,0.0,0.0,43.28,43.97,42.24
1,80.0,44.07,60.0,,46.15,63.83,45.0,56.84
2,50.0,57.95,60.0,,50.0,65.83,55.26,62.61
3,0.0,60.32,46.67,0.0,20.0,68.65,59.04,65.45
4,83.33,70.0,81.82,,44.44,71.35,55.79,69.88
5,83.33,65.52,100.0,50.0,60.0,74.52,60.71,71.52
6,100.0,67.59,50.0,100.0,75.0,78.71,67.01,75.16
7,40.0,73.43,71.43,0.0,50.0,81.36,66.67,78.34
8,60.0,70.69,70.59,100.0,85.71,80.17,69.15,77.72
9,67.74,61.66,63.33,37.5,42.25,71.72,58.22,68.23
