-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,18.18,24.0,0.0,21.28
OTHER,25.0,0.0,0.0,20.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,66.67,16.67,0.0,33.33
ASIAN-PACIFIC,50.0,0.0,0.0,25.0
WHITE,46.08,48.6,0.0,47.39
BLACK,25.66,32.93,0.0,30.0
TOTAL,39.36,41.76,0.0,40.67
