-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,33.33,28.7,25.56,0.0,29.82,39.2,28.65,34.39
30-34,46.15,40.27,32.88,50.0,29.17,45.98,36.96,43.03
35-39,29.55,45.74,50.0,0.0,38.89,56.46,42.83,51.56
40-44,30.56,49.38,46.75,100.0,48.57,58.69,52.68,55.42
45-49,38.89,57.49,46.43,0.0,37.5,63.64,52.51,60.66
50-54,55.0,57.42,41.98,80.0,52.63,68.11,54.95,63.9
55-59,62.07,61.37,49.28,80.0,62.5,70.58,56.9,67.22
60-64,69.57,68.49,57.89,0.0,77.78,76.84,62.2,74.29
65-OVER,66.67,66.84,54.67,33.33,62.9,76.79,69.9,74.89
TOTAL,47.43,52.45,43.76,50.0,46.99,66.38,51.3,61.71
