-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,14.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,220.0,171.0,0.0,57.0,25.0,507.0
30-34,0.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,223.0,155.0,0.0,69.0,21.0,496.0
35-39,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,251.0,209.0,0.0,66.0,35.0,587.0
40-44,1.0,15.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,259.0,226.0,0.0,81.0,45.0,651.0
45-49,0.0,11.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,335.0,319.0,0.0,96.0,52.0,826.0
50-54,0.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,425.0,368.0,0.0,105.0,67.0,999.0
55-59,0.0,13.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,1.0,0.0,448.0,419.0,0.0,89.0,59.0,1053.0
60-64,0.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,4.0,0.0,474.0,439.0,0.0,81.0,48.0,1088.0
65-OVER,0.0,43.0,33.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,5.0,3.0,0.0,1571.0,1440.0,0.0,207.0,130.0,3445.0
TOTAL,1.0,147.0,126.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,24.0,18.0,0.0,21.0,14.0,3.0,4206.0,3746.0,0.0,851.0,482.0,9652.0
