AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,42.24,0.00,100.0,0.00,61.72,37.04,53.86
25-29,50.00,44.58,0.00,0.00,0.00,52.77,50.00,49.33
30-34,50.00,46.90,0.00,0.00,0.00,62.14,0.00,55.98
35-39,0.00,58.57,0.00,0.00,0.00,72.54,40.00,66.92
40-44,0.00,53.98,0.00,0.00,0.00,77.73,66.67,69.48
45-49,100.0,66.96,0.00,0.00,0.00,80.14,50.00,76.28
50-54,0.00,67.79,0.00,0.00,0.00,78.53,33.33,74.71
55-59,100.0,70.11,0.00,0.00,0.00,80.65,60.00,76.68
60-64,100.0,70.29,0.00,0.00,100.0,82.24,42.86,77.62
65-OVER,100.0,67.97,0.00,0.00,100.0,74.09,63.64,72.64
TOTAL,75.00,59.92,0.00,100.0,50.00,73.11,45.57,68.55
