-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,6.98,25.0,0.0,13.43
OTHER,0.0,27.27,0.0,11.54
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,5.71,18.75,0.0,9.8
ASIAN-PACIFIC,20.0,0.0,0.0,11.76
WHITE,11.8,24.03,0.0,17.47
BLACK,12.5,26.03,0.0,18.83
TOTAL,10.53,23.86,0.0,16.38
