-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,44.62,36.96,0.0,41.44
OTHER,50.0,25.0,0.0,37.5
NATIVE AMERICAN,100.0,100.0,0.0,100.0
LATINO,14.29,53.85,0.0,40.0
ASIAN-PACIFIC,100.0,0.0,0.0,75.0
WHITE,42.26,49.59,0.0,46.09
BLACK,22.22,40.0,0.0,28.57
TOTAL,42.31,48.82,0.0,45.66
