-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,34.55,48.65,0.0,40.22
OTHER,10.0,16.67,0.0,13.64
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,17.65,45.0,0.0,36.84
ASIAN-PACIFIC,30.0,75.0,0.0,42.86
WHITE,41.72,44.48,0.0,43.05
BLACK,21.24,38.31,0.0,30.14
TOTAL,28.82,40.74,0.0,34.87
