-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,57.14,41.8,45.95,100.0,36.84,45.51,40.68,44.55
30-34,54.55,44.53,37.93,0.0,29.17,57.04,53.78,54.2
35-39,63.64,59.02,50.0,0.0,76.92,66.74,60.18,65.04
40-44,58.33,61.32,64.29,0.0,42.86,68.36,65.93,66.9
45-49,69.57,68.64,48.39,100.0,71.43,73.48,72.55,72.37
50-54,44.44,74.35,66.67,0.0,71.43,76.17,76.11,75.51
55-59,55.56,75.89,61.29,0.0,70.0,76.87,67.82,75.98
60-64,69.23,77.45,70.83,100.0,66.67,80.07,69.39,79.0
65-OVER,60.0,70.0,72.22,100.0,70.0,77.78,59.24,75.99
TOTAL,59.4,65.67,57.46,83.33,55.04,71.57,62.76,69.91
