-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,47.06,37.5,0.0,44.0
OTHER,0.0,28.57,0.0,22.22
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,20.0,28.57,0.0,25.0
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,46.64,47.95,0.0,47.34
BLACK,21.62,36.57,0.0,30.77
TOTAL,38.62,43.06,0.0,41.09
