,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,40.0,42.78,54.55,,56.25,47.25,36.97,45.33
1,33.33,45.42,33.33,,33.33,57.68,55.45,54.42
2,66.67,58.31,66.67,0.0,50.0,69.43,61.0,66.29
3,60.0,62.24,45.45,,100.0,71.13,62.75,68.54
4,40.0,68.15,50.0,100.0,71.43,76.48,63.74,73.67
5,50.0,69.32,40.0,0.0,64.29,76.85,69.51,74.54
6,40.0,68.66,50.0,,36.36,79.73,70.89,76.67
7,64.29,73.05,66.67,,60.0,83.1,65.75,80.02
8,30.77,67.65,77.78,,46.15,81.44,62.25,77.82
9,47.3,62.78,52.38,33.33,55.68,74.33,59.91,70.82
