-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,22.5,52.0,0.0,33.85
OTHER,33.33,66.67,0.0,50.0
NATIVE AMERICAN,100.0,100.0,0.0,100.0
LATINO,20.0,12.5,0.0,15.38
ASIAN-PACIFIC,50.0,50.0,0.0,50.0
WHITE,42.68,45.95,0.0,44.46
BLACK,27.22,54.95,0.0,42.91
TOTAL,32.97,51.19,0.0,43.02
