PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
BLOWING CAVE,58.85,61.20,0.00,60.12
CAIRO 4TH DISTR,47.48,59.55,33.33,54.33
CAIRO 5TH DISTR,53.98,61.60,0.00,58.40
DUNCANVILLE,72.03,69.33,0.00,70.68
HIGDON,59.41,63.79,0.00,61.76
LIMESINK,58.74,62.15,0.00,60.62
MIDWAY,58.64,66.24,0.00,62.53
PINE PARK,56.64,55.31,0.00,55.90
RAGAN,65.67,66.55,0.00,66.15
SPENCE,63.48,64.52,0.00,64.03
SPRING HILL,70.82,73.78,0.00,72.38
WHIGHAM,57.43,60.55,0.00,59.06
WOODLAND,65.77,67.50,0.00,66.70
TOTAL,58.42,63.04,20.00,60.94
