,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,36.43,48.83,43.86,40.0,36.89,40.84,38.46,42.09
1,41.07,57.84,58.59,33.33,52.7,52.77,50.11,53.29
2,62.09,69.54,62.5,33.33,66.27,66.83,62.22,66.43
3,55.69,73.91,72.93,50.0,71.76,73.15,65.41,71.75
4,67.4,77.3,72.92,75.0,63.33,75.11,68.12,74.34
5,70.59,80.19,65.5,100.0,77.0,79.48,71.86,78.26
6,63.85,82.42,69.77,100.0,75.0,80.91,71.52,79.77
7,67.86,85.86,79.31,0.0,78.12,83.07,72.59,82.48
8,72.31,84.97,65.36,66.67,74.42,82.7,74.37,82.04
9,61.13,75.34,65.13,57.69,65.34,74.65,64.24,73.06
