,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,11.76,18.83,9.8,,11.54,17.47,13.43,16.38
1,21.43,13.55,17.02,0.0,0.0,19.03,20.0,17.51
2,0.0,26.56,11.43,100.0,0.0,21.25,46.67,22.57
3,25.0,29.46,14.29,0.0,20.0,28.46,17.39,27.21
4,66.67,42.61,10.0,100.0,33.33,39.41,40.74,39.15
5,0.0,52.17,9.09,,0.0,49.25,70.0,48.89
6,50.0,65.79,33.33,,0.0,53.85,44.44,56.63
7,50.0,69.35,0.0,,0.0,63.12,60.0,63.85
8,0.0,67.89,16.67,,33.33,62.32,54.55,62.25
9,18.75,37.84,12.76,50.0,12.86,35.34,29.11,33.79
