-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,20.0,39.52,0.0,29.0
OTHER,14.63,21.95,0.0,18.07
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,24.14,19.35,0.0,21.31
ASIAN-PACIFIC,23.08,47.06,0.0,35.48
WHITE,32.24,36.1,0.0,34.03
BLACK,19.41,37.37,0.0,29.08
TOTAL,21.95,36.94,0.0,29.82
