-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,28.69,0.0,0.0,100.0,44.22,33.33,38.3
30-34,100.0,35.51,50.0,100.0,0.0,53.16,25.0,47.22
35-39,0.0,43.02,0.0,100.0,0.0,64.11,38.46,56.55
40-44,0.0,50.0,0.0,0.0,0.0,65.0,25.0,58.98
45-49,0.0,56.32,66.67,0.0,0.0,68.22,50.0,64.37
50-54,0.0,57.02,0.0,0.0,0.0,73.95,50.0,67.86
55-59,0.0,63.0,0.0,100.0,0.0,73.86,77.78,70.34
60-64,0.0,59.74,0.0,0.0,0.0,74.72,42.86,70.77
65-OVER,0.0,52.91,0.0,0.0,100.0,78.1,80.0,73.83
TOTAL,16.67,49.16,27.27,75.0,28.57,69.42,44.59,63.52
