,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,26.67,28.87,36.92,,15.0,38.63,45.56,38.02
1,23.08,40.0,47.37,50.0,42.86,52.09,48.15,50.96
2,41.67,38.1,43.48,50.0,50.0,61.55,57.14,59.27
3,56.52,55.56,40.0,0.0,20.0,67.43,48.21,64.94
4,40.91,56.49,58.68,66.67,21.43,69.43,42.42,67.37
5,43.48,57.34,58.06,100.0,42.86,69.04,50.0,67.47
6,54.55,62.26,54.55,,44.44,71.81,50.0,70.29
7,44.44,53.95,60.0,,71.43,75.22,41.51,73.43
8,57.14,67.51,55.0,100.0,60.0,73.78,48.42,72.9
9,44.3,52.32,47.88,57.89,36.36,65.84,48.09,63.99
