-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,70.0,66.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,7.0,10.0,0.0,0.0,4.0,0.0,492.0,413.0,0.0,44.0,44.0,1165.0
30-34,0.0,49.0,41.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,4.0,3.0,0.0,465.0,353.0,0.0,47.0,29.0,1011.0
35-39,0.0,31.0,44.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,5.0,0.0,0.0,508.0,392.0,0.0,36.0,26.0,1054.0
40-44,0.0,37.0,37.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,2.0,1.0,0.0,503.0,416.0,0.0,46.0,27.0,1087.0
45-49,0.0,47.0,42.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,545.0,468.0,0.0,49.0,53.0,1216.0
50-54,0.0,44.0,35.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,589.0,466.0,0.0,44.0,40.0,1228.0
55-59,0.0,42.0,28.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,604.0,537.0,0.0,50.0,55.0,1325.0
60-64,0.0,32.0,27.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,510.0,481.0,0.0,49.0,45.0,1155.0
65-OVER,0.0,57.0,48.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,4.0,3.0,0.0,1568.0,1322.0,0.0,161.0,102.0,3276.0
TOTAL,0.0,409.0,368.0,0.0,20.0,20.0,0.0,3.0,3.0,0.0,31.0,48.0,0.0,23.0,13.0,0.0,5784.0,4848.0,0.0,526.0,421.0,12517.0
