,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,35.71,0.0,,37.5,42.79,27.66,41.39
1,66.67,47.83,0.0,,50.0,54.26,33.33,52.78
2,,44.44,25.0,0.0,50.0,59.35,46.67,58.29
3,,43.48,33.33,0.0,0.0,63.74,27.27,61.41
4,0.0,45.45,33.33,,100.0,65.35,30.56,63.55
5,100.0,82.61,0.0,50.0,0.0,69.09,34.38,68.1
6,100.0,60.71,20.0,66.67,50.0,70.08,60.0,69.21
7,50.0,68.97,50.0,,,73.23,53.85,72.4
8,100.0,71.21,75.0,0.0,66.67,72.06,44.74,71.56
9,58.33,58.46,33.33,37.5,48.39,64.94,38.49,63.67
