,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,16.67,11.11,46.56,100.0,33.33,43.4,37.38,42.71
1,0.0,20.0,41.67,0.0,0.0,54.07,47.67,52.21
2,50.0,26.67,32.43,100.0,54.55,60.19,53.64,58.07
3,100.0,53.33,44.68,,0.0,62.4,50.33,60.17
4,25.0,25.0,49.43,,66.67,65.12,51.7,63.22
5,50.0,25.0,59.65,0.0,60.0,70.23,46.27,67.95
6,25.0,33.33,46.3,0.0,60.0,68.99,52.21,66.99
7,100.0,25.0,34.78,,62.5,73.72,53.54,71.72
8,40.0,62.5,42.86,0.0,69.23,68.53,58.6,67.66
9,38.71,31.96,44.79,37.5,48.15,63.99,49.6,61.96
