,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,0.0,25.0,50.0,66.67,42.98,31.67,42.12
1,0.0,25.0,28.57,,60.0,49.62,57.14,49.7
2,42.86,33.33,37.5,,20.0,58.42,40.54,57.24
3,100.0,60.0,42.86,,66.67,62.74,42.86,62.09
4,50.0,33.33,50.0,0.0,25.0,64.33,53.33,63.59
5,50.0,28.57,70.0,100.0,80.0,71.48,60.0,70.77
6,50.0,,62.5,60.0,100.0,73.15,70.0,72.98
7,100.0,50.0,100.0,100.0,100.0,77.09,70.59,76.97
8,66.67,50.0,55.56,0.0,62.5,73.59,80.65,73.7
9,60.0,36.67,48.57,56.25,67.39,68.09,62.4,67.72
