-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,14.29,41.67,0.0,31.58
OTHER,0.0,50.0,0.0,20.0
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,0.0,0.0,0.0,0.0
ASIAN-PACIFIC,0.0,0.0,0.0,0.0
WHITE,47.58,54.33,0.0,51.0
BLACK,31.76,53.17,0.0,44.55
TOTAL,39.73,52.99,0.0,47.02
