-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,26.09,42.68,47.5,0.0,29.41,49.31,43.85,47.76
30-34,40.62,49.45,44.12,0.0,27.27,65.09,64.32,63.35
35-39,67.57,59.0,66.67,0.0,66.67,76.4,64.8,74.06
40-44,74.42,67.03,65.12,50.0,60.0,78.04,69.92,76.36
45-49,71.43,63.25,82.05,0.0,70.83,80.09,70.59,78.36
50-54,75.0,69.3,74.19,100.0,62.5,81.57,69.9,79.88
55-59,61.54,68.91,57.14,0.0,72.0,83.9,65.83,81.61
60-64,80.0,81.9,86.36,100.0,50.0,84.58,64.04,83.48
65-OVER,62.96,68.57,70.59,50.0,66.67,82.51,71.24,81.2
TOTAL,62.47,64.49,65.05,60.0,59.52,77.34,64.86,75.36
