,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,43.78,55.18,0.0,49.91
1,54.63,64.71,100.0,60.42
2,62.82,72.93,150.0,68.74
3,69.62,73.43,100.0,71.78
4,71.76,74.81,100.0,73.41
5,71.42,78.97,50.0,75.54
6,72.67,80.1,,76.61
7,78.4,81.36,100.0,80.03
8,81.76,78.75,,80.07
9,70.13,74.54,88.89,72.58
