,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,33.82,47.71,0.0,41.67
1,45.52,50.4,,48.37
2,51.83,59.27,,55.76
3,55.77,63.62,,60.23
4,66.59,67.05,,66.84
5,64.4,71.72,,68.43
6,70.46,74.28,,72.55
7,73.17,77.83,,75.78
8,74.49,71.69,,72.89
9,61.74,65.7,0.0,63.95
