,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,0.0,37.02,47.89,33.33,32.0,41.91,37.1,39.61
1,60.0,43.94,41.79,0.0,34.78,50.0,43.78,47.18
2,28.57,51.54,38.3,33.33,26.67,58.45,43.6,54.44
3,33.33,57.82,47.5,0.0,54.55,64.84,48.67,61.03
4,54.55,59.44,50.0,0.0,38.1,67.87,46.58,63.5
5,60.0,59.09,50.0,0.0,50.0,70.44,42.14,65.1
6,52.94,61.89,50.0,50.0,56.52,72.42,47.5,67.83
7,66.67,66.67,61.54,50.0,50.0,78.81,51.94,73.96
8,63.64,65.59,55.26,100.0,60.71,75.82,64.86,73.36
9,51.04,55.62,47.89,47.62,42.73,67.44,47.74,62.52
