,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,20.0,21.98,66.67,100.0,60.0,47.99,44.78,45.43
1,0.0,32.14,38.46,0.0,66.67,54.98,48.35,51.64
2,100.0,31.25,50.0,100.0,50.0,67.33,40.45,62.46
3,0.0,40.82,40.0,,100.0,66.29,52.5,63.7
4,75.0,50.7,40.0,100.0,0.0,74.34,56.96,71.13
5,100.0,57.73,50.0,0.0,100.0,71.96,48.33,69.16
6,,59.77,0.0,,25.0,73.24,52.11,70.18
7,50.0,67.86,0.0,,50.0,77.03,55.32,74.83
8,33.33,69.26,75.0,,100.0,77.55,57.95,76.14
9,52.17,52.47,49.09,60.0,61.54,69.97,50.6,67.06
