-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,1.0,52.0,64.0,0.0,6.0,9.0,0.0,0.0,2.0,0.0,20.0,22.0,0.0,3.0,6.0,0.0,729.0,695.0,0.0,11.0,10.0,1630.0
30-34,0.0,44.0,60.0,0.0,6.0,4.0,0.0,1.0,3.0,0.0,13.0,8.0,0.0,6.0,2.0,0.0,643.0,623.0,0.0,11.0,6.0,1430.0
35-39,1.0,34.0,40.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,6.0,9.0,0.0,4.0,1.0,0.0,677.0,555.0,0.0,8.0,6.0,1349.0
40-44,0.0,28.0,47.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,8.0,10.0,0.0,5.0,2.0,0.0,666.0,575.0,0.0,3.0,4.0,1355.0
45-49,0.0,40.0,44.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,5.0,4.0,0.0,703.0,603.0,0.0,7.0,5.0,1440.0
50-54,0.0,44.0,43.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,10.0,11.0,0.0,5.0,1.0,0.0,739.0,683.0,0.0,8.0,7.0,1558.0
55-59,0.0,39.0,41.0,0.0,6.0,2.0,0.0,3.0,1.0,0.0,11.0,6.0,0.0,3.0,4.0,0.0,896.0,772.0,0.0,7.0,10.0,1801.0
60-64,2.0,42.0,49.0,0.0,4.0,3.0,0.0,0.0,5.0,0.0,4.0,4.0,0.0,6.0,0.0,0.0,856.0,736.0,0.0,4.0,3.0,1718.0
65-OVER,0.0,117.0,96.0,0.0,4.0,6.0,0.0,8.0,6.0,0.0,11.0,2.0,0.0,4.0,2.0,1.0,2209.0,2038.0,0.0,12.0,7.0,4523.0
TOTAL,4.0,440.0,484.0,0.0,37.0,32.0,0.0,18.0,19.0,0.0,95.0,84.0,0.0,41.0,22.0,1.0,8118.0,7280.0,0.0,71.0,58.0,16804.0
