-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,100.0,28.99,150.0,0.0,0.0,47.64,17.95,38.83
30-34,0.0,35.94,33.33,0.0,0.0,58.62,43.75,50.0
35-39,0.0,55.32,0.0,0.0,0.0,64.25,31.25,59.75
40-44,0.0,49.53,75.0,0.0,0.0,70.39,42.11,61.65
45-49,0.0,54.44,33.33,0.0,0.0,74.89,50.0,67.65
50-54,0.0,65.81,0.0,0.0,0.0,66.4,55.56,65.38
55-59,100.0,63.7,0.0,0.0,0.0,67.73,61.54,66.25
60-64,0.0,57.89,0.0,0.0,0.0,71.92,43.75,66.58
65-OVER,33.33,52.41,50.0,0.0,50.0,71.84,67.86,67.83
TOTAL,40.0,50.93,52.63,0.0,16.67,67.21,43.78,61.3
