AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,37.50,54.05,66.67,100.0,51.91,40.91,50.99
25-29,0.00,0.00,19.05,0.00,50.00,46.96,38.89,40.49
30-34,0.00,9.090,41.67,0.00,0.00,57.53,42.86,52.17
35-39,0.00,33.33,0.00,0.00,50.00,59.52,28.57,54.05
40-44,100.0,50.00,44.44,0.00,50.00,66.67,50.00,63.93
45-49,0.00,42.86,80.00,0.00,50.00,68.38,44.44,65.49
50-54,0.00,45.45,50.00,0.00,100.0,77.42,44.44,72.83
55-59,0.00,78.57,33.33,0.00,50.00,73.24,80.00,72.89
60-64,0.00,50.00,100.0,0.00,100.0,77.44,50.00,74.51
65-OVER,0.00,75.00,66.67,0.00,100.0,70.95,42.86,70.77
TOTAL,25.00,49.02,42.86,50.00,64.71,66.24,43.93,62.66
