-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,1.0,208.0,173.0,0.0,49.0,18.0,0.0,0.0,2.0,0.0,73.0,47.0,0.0,63.0,37.0,1.0,1609.0,1252.0,4.0,399.0,198.0,4134.0
30-34,3.0,292.0,223.0,0.0,43.0,26.0,0.0,1.0,3.0,0.0,99.0,60.0,0.0,40.0,40.0,1.0,1872.0,1485.0,1.0,533.0,241.0,4963.0
35-39,2.0,312.0,248.0,1.0,51.0,29.0,0.0,3.0,3.0,0.0,90.0,46.0,0.0,55.0,43.0,1.0,1994.0,1723.0,2.0,606.0,318.0,5527.0
40-44,1.0,278.0,227.0,0.0,45.0,25.0,0.0,5.0,6.0,0.0,86.0,51.0,1.0,72.0,65.0,2.0,2197.0,1818.0,1.0,614.0,393.0,5887.0
45-49,3.0,263.0,263.0,1.0,32.0,27.0,0.0,10.0,3.0,0.0,98.0,66.0,0.0,77.0,46.0,1.0,2448.0,2209.0,0.0,698.0,442.0,6687.0
50-54,1.0,204.0,228.0,0.0,33.0,25.0,0.0,2.0,3.0,0.0,75.0,48.0,0.0,82.0,56.0,0.0,2653.0,2298.0,0.0,704.0,523.0,6935.0
55-59,2.0,156.0,178.0,0.0,35.0,32.0,0.0,0.0,3.0,0.0,61.0,58.0,0.0,80.0,50.0,1.0,2701.0,2377.0,1.0,572.0,468.0,6775.0
60-64,0.0,171.0,120.0,0.0,42.0,37.0,0.0,1.0,3.0,0.0,46.0,42.0,0.0,78.0,66.0,2.0,2590.0,2322.0,0.0,421.0,356.0,6297.0
65-OVER,2.0,327.0,268.0,0.0,48.0,64.0,0.0,3.0,5.0,0.0,38.0,42.0,0.0,175.0,170.0,3.0,5548.0,5182.0,0.0,743.0,584.0,13202.0
TOTAL,15.0,2211.0,1928.0,2.0,378.0,283.0,0.0,25.0,31.0,0.0,666.0,460.0,1.0,722.0,573.0,12.0,23612.0,20666.0,9.0,5290.0,3523.0,60407.0
