-,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,34.21,55.0,0.0,41.38
OTHER,0.0,33.33,0.0,33.33
NATIVE AMERICAN,0.0,0.0,0.0,0.0
LATINO,0.0,44.44,0.0,21.05
ASIAN-PACIFIC,20.0,0.0,0.0,9.09
WHITE,47.81,49.23,50.0,48.58
BLACK,12.5,71.43,0.0,40.0
TOTAL,44.31,48.86,50.0,46.68
