,MALE,FEMALE,UNKNOWN,TOTAL VOTERS
0,31.51,35.24,,33.65
1,36.68,38.99,,38.08
2,41.69,44.03,66.67,43.13
3,47.95,53.72,0.0,51.05
4,55.52,56.92,,56.25
5,63.87,57.83,,60.58
6,61.62,64.56,0.0,62.95
7,70.85,69.28,,70.04
8,65.88,62.92,,64.29
9,52.28,51.83,40.0,52.02
