,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,29.57,38.31,38.92,23.08,31.87,30.1,31.4,36.8
1,31.05,44.9,42.77,42.86,35.87,36.28,35.92,42.82
2,27.69,51.21,48.44,43.75,39.54,42.19,40.69,48.88
3,30.98,58.79,47.7,11.11,43.72,46.97,47.82,55.81
4,34.76,63.55,52.77,0.0,44.56,54.37,48.27,60.37
5,37.5,65.25,54.31,44.44,62.58,59.99,49.45,62.65
6,48.07,68.23,60.26,25.0,61.36,65.37,50.32,65.85
7,43.84,71.47,56.93,69.23,65.0,72.53,54.05,69.37
8,48.86,68.77,59.52,44.44,57.79,69.8,49.89,66.81
9,38.09,57.41,49.17,37.17,46.24,60.0,43.8,55.8
