ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,22.98,26.31,33.33,24.95
2016 Primary,11.93,13.01,0.00,12.55
2016 Primary Runoff,5.43,5.02,0.00,5.18
2016 General,45.20,56.70,66.67,51.88
2018 Primary,10.67,13.49,0.00,12.30
2018 Primary Runoff,6.01,7.42,0.00,6.83
2018 General,38.91,48.43,50.00,44.47
