ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,0.00,21.57,33.33,0.00,5.56,19.49,10.45,19.82
2016 Primary,0.00,15.73,0.00,0.00,0.00,8.42,0.00,12.16
2016 Primary Runoff,0.00,7.53,0.00,0.00,0.00,1.49,0.00,5.23
2016 General,18.18,44.74,58.33,0.00,13.04,34.78,22.86,39.98
2018 Primary,0.00,11.29,6.67,0.00,0.00,8.33,6.58,9.92
2018 Primary Runoff,0.00,5.35,0.00,0.00,0.00,2.62,1.32,4.24
2018 General,33.33,39.19,28.57,0.00,28.57,35.61,19.48,36.25
