ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2016 Presidential Primary,0.00,18.18,10.53,0.00,0.00,30.25,6.67,25.97
2016 Primary,0.00,12.86,5.56,0.00,0.00,9.70,0.00,9.68
2016 Primary Runoff,0.00,4.23,0.00,0.00,0.00,3.04,0.00,3.03
2016 General,50.00,45.10,21.05,0.00,12.50,58.63,37.14,53.55
2018 Primary,14.29,12.08,5.26,0.00,0.00,12.94,3.51,11.76
2018 Primary Runoff,0.00,8.05,0.00,0.00,0.00,10.61,0.00,8.88
2018 General,37.50,44.06,17.86,50.00,14.29,50.74,19.35,45.44
