PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
ELLIJAY SOUTH,21.42,20.83,0.00,21.11
CARTECAY,33.73,30.07,0.00,31.84
TAILS CREEK,17.52,15.63,0.00,16.54
TOWN CREEK,23.42,21.57,0.00,22.41
LEACHES,17.41,16.65,0.00,17.01
CHERRY LOG,18.84,21.46,0.00,20.12
BOARDTOWN,27.85,24.71,0.00,26.22
MOUNTAINTOWN,25.72,26.46,0.00,26.10
EAST ELLIJAY,29.69,27.56,0.00,28.55
ELLIJAY NORTH,30.25,27.02,0.00,28.49
YUKON,22.46,24.76,0.00,23.57
BIG CREEK,27.60,27.86,0.00,27.73
ELLIJAY NORTHEAST,27.20,26.16,0.00,26.66
TOTAL,24.46,23.41,0.00,23.91
