AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,5.190,0.00,33.33,25.00,15.36,3.810,12.93
25-29,0.00,1.940,0.00,0.00,0.00,10.84,18.75,10.15
30-34,0.00,1.280,0.00,0.00,33.33,18.12,8.140,15.26
35-39,0.00,2.820,0.00,100.0,0.00,27.97,8.050,23.89
40-44,0.00,9.760,40.00,0.00,0.00,31.56,12.35,28.80
45-49,0.00,7.140,0.00,0.00,0.00,32.72,12.68,29.00
50-54,0.00,18.28,0.00,0.00,0.00,33.18,3.390,29.81
55-59,0.00,19.28,0.00,0.00,0.00,33.42,12.86,30.37
60-64,0.00,19.48,0.00,0.00,0.00,36.53,11.43,33.87
65-OVER,0.00,24.69,25.00,0.00,0.00,43.42,17.65,40.74
TOTAL,0.00,13.41,4.620,33.33,6.900,31.25,10.63,28.02
