AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,2.13,3.47,1.42,0.00,3.06,7.01,3.22,4.47
25-29,2.00,2.73,1.94,0.00,2.63,4.45,1.44,3.36
30-34,3.33,4.52,1.22,0.00,5.00,6.17,2.81,5.12
35-39,14.81,7.72,3.64,0.00,8.82,10.72,3.95,8.74
40-44,2.63,11.18,1.82,0.00,0.00,13.32,3.49,11.38
45-49,6.67,11.63,4.21,33.33,6.90,15.27,4.70,12.79
50-54,3.57,14.22,4.92,25.00,6.67,17.46,3.67,15.13
55-59,7.41,17.67,10.94,25.00,4.35,19.32,7.27,17.88
60-64,6.67,23.36,6.82,25.00,14.29,23.95,10.29,22.80
65-OVER,15.15,28.97,7.14,0.00,2.94,33.90,15.14,31.37
TOTAL,5.85,12.32,3.80,9.52,4.49,18.12,4.95,14.42
