PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1A,0.00,5.26,0.00,0.00,0.00,9.71,3.65,8.77
1B,0.00,7.41,0.00,0.00,0.00,13.54,5.33,12.45
1C,0.00,6.33,0.00,50.00,0.00,8.34,6.25,7.99
1D,0.00,0.00,0.00,0.00,0.00,7.10,2.99,6.40
2A,0.00,9.17,7.69,0.00,0.00,10.04,4.00,9.32
2B,5.00,6.05,0.00,0.00,0.00,10.58,2.73,9.05
2C,0.00,3.45,0.00,0.00,8.33,8.12,2.08,6.87
3A,0.00,10.00,0.00,0.00,0.00,18.34,3.66,15.71
3B,0.00,6.91,16.67,0.00,0.00,22.84,10.13,16.74
3C,25.00,6.83,0.00,0.00,0.00,22.98,7.94,18.63
3D,0.00,10.78,0.00,0.00,0.00,14.54,2.53,12.81
4A,7.14,4.00,3.23,50.00,0.00,16.01,3.17,13.53
4B,0.00,8.93,0.00,0.00,0.00,15.71,0.83,12.77
4C,0.00,5.80,3.85,0.00,5.26,9.43,1.59,8.30
5A,0.00,7.42,0.00,25.00,21.43,11.14,2.44,9.95
5B,6.67,10.21,3.70,0.00,4.00,8.44,4.82,8.20
5C,0.00,12.17,0.00,0.00,0.00,10.44,1.46,9.46
TOTAL,2.89,7.72,1.92,11.54,3.85,12.09,3.48,10.64
