AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,24.68,0.00,0.00,0.00,25.74,7.69,24.24
25-29,0.00,23.56,0.00,0.00,0.00,21.83,16.67,22.15
30-34,0.00,30.30,0.00,100.0,0.00,29.29,0.00,29.68
35-39,0.00,36.17,0.00,0.00,0.00,43.16,100.0,40.79
40-44,0.00,41.44,0.00,0.00,0.00,43.25,33.33,42.28
45-49,100.0,42.74,0.00,0.00,0.00,48.40,0.00,46.47
50-54,0.00,52.05,0.00,0.00,0.00,46.31,0.00,47.26
55-59,100.0,51.37,0.00,0.00,0.00,50.92,20.00,50.58
60-64,100.0,63.10,0.00,0.00,100.0,53.25,75.00,57.29
65-OVER,50.00,55.82,100.0,0.00,0.00,52.57,44.44,53.26
TOTAL,50.00,43.52,10.00,50.00,40.00,44.43,25.33,43.82
