PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
BLAIRSVILLE,34.27,30.76,0.00,32.27
COOSA,35.77,33.51,0.00,34.57
CHOESTOE,36.73,36.78,100.0,36.81
JONES CREEK,36.36,34.08,0.00,35.13
OWLTOWN,38.98,36.00,0.00,37.44
IVY LOG,33.24,33.10,0.00,33.17
SUCHES,42.01,42.65,0.00,42.25
TRACKROCK,40.04,36.29,0.00,38.07
DOOLEY,28.43,26.44,0.00,27.39
GUMLOG,34.20,30.49,0.00,32.22
PAT COLWELL,35.31,36.89,100.0,36.18
TOTAL,35.42,33.45,33.33,34.38
