AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,13.22,0.00,0.00,0.00,28.42,22.73,23.06
25-29,0.00,8.940,0.00,0.00,0.00,23.83,0.00,18.64
30-34,0.00,14.29,0.00,0.00,0.00,32.37,16.67,27.49
35-39,0.00,28.57,33.33,0.00,0.00,35.52,0.00,33.43
40-44,0.00,18.07,0.00,0.00,0.00,41.38,0.00,36.03
45-49,0.00,25.74,0.00,0.00,50.00,45.93,16.67,40.61
50-54,66.67,33.85,0.00,100.0,0.00,49.31,25.00,44.93
55-59,0.00,32.06,25.00,0.00,0.00,52.03,22.22,46.11
60-64,0.00,48.48,33.33,0.00,0.00,60.49,0.00,56.88
65-OVER,0.00,41.76,0.00,0.00,50.00,65.07,37.50,59.68
TOTAL,20.00,28.35,5.260,100.0,25.00,47.74,18.31,42.27
