PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BEAVERDAM,0.00,11.24,11.54,25.00,6.67,31.94,14.66,28.96
CRAWFORD,0.00,9.65,5.00,0.00,10.00,36.36,11.66,30.21
LEXINGTON,25.00,16.22,5.26,50.00,17.65,45.44,16.67,37.91
TOTAL,15.00,13.64,7.69,33.33,11.90,38.59,14.47,33.11
