PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1A,0.00,6.00,1.37,0.00,0.00,11.59,4.55,8.68
GAINES SCHOOL,0.00,6.21,0.00,0.00,9.52,8.28,3.41,6.87
WHIT DAVIS SCHOOL,0.00,5.19,3.12,0.00,8.70,8.62,2.11,7.42
1D,2.44,13.49,2.22,0.00,6.67,12.69,4.01,11.56
2A,33.33,5.03,0.75,0.00,0.00,5.78,2.56,4.78
2B,0.00,3.83,0.00,0.00,4.08,2.13,2.05,3.07
3A,4.76,5.22,0.00,0.00,0.00,4.07,2.62,4.41
3B,2.44,2.99,0.00,0.00,2.15,2.60,1.76,2.53
4A,0.00,2.76,0.00,0.00,0.00,3.13,1.63,2.64
4B,1.06,1.98,2.61,0.00,0.00,6.15,2.40,4.83
5A,7.69,11.08,3.33,0.00,2.56,12.10,4.15,10.62
5B,8.57,9.30,2.35,0.00,5.56,12.18,3.45,9.95
5C,11.11,6.11,8.70,0.00,3.45,8.51,6.27,8.01
5D,6.25,7.40,0.60,0.00,0.00,9.41,2.78,7.02
6A,0.00,5.39,1.61,0.00,0.00,10.68,2.87,7.85
GEORGIA SQUARE MALL,0.00,5.46,1.04,50.00,3.77,10.84,2.10,8.04
6C,5.71,8.67,2.08,0.00,2.86,10.56,3.17,8.90
6D,5.41,9.80,2.04,0.00,8.00,9.99,9.71,9.53
TIMOTHY ELEMENTARY,4.05,10.36,0.00,0.00,3.45,10.49,4.62,9.31
7B,6.25,1.36,2.04,0.00,0.00,10.84,4.07,8.69
7C,0.00,2.07,2.44,0.00,7.14,11.97,3.56,10.00
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8A,6.12,5.72,3.57,0.00,5.41,14.80,5.87,11.15
8B,5.00,5.50,5.26,0.00,0.00,16.80,8.62,13.01
8C,1.06,6.81,1.72,0.00,5.00,7.07,2.32,6.02
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,2.87,5.74,1.60,2.86,3.21,9.20,3.44,7.30
