PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
SAMMY MCCLURE MID SC,11.30,10.75,0.00,11.01
NORTHSIDE ELEM SCH,18.36,20.26,0.00,19.36
MOSES MIDDLE SCHOOL,11.14,10.96,0.00,11.04
RUSSOM ELEM SCH,8.23,7.42,0.00,7.81
MT TABOR PARK,12.58,12.53,0.00,12.55
WATSON GOVT COMPLEX,12.62,12.28,20.00,12.44
P B RITCH MIDD SCH,9.74,9.70,0.00,9.71
SARA RAGSDALE ELM SC,12.57,13.21,0.00,12.89
PAULDING CO HIGH SC,11.39,10.59,0.00,10.96
HIRAM HIGH SCHOOL,8.60,9.09,0.00,8.87
TAYLOR FARM PARK,7.78,8.18,10.00,7.99
AUSTIN MIDDLE SCHOOL,8.48,7.69,0.00,8.05
NEBO ELEMENTARY SCH,12.06,10.82,0.00,11.40
CARL SCOGGINS MID SC,14.47,14.20,0.00,14.32
88888,300.0,0.00,0.00,150.0
TOTAL,10.81,10.55,4.00,10.67
