PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
QUEEN OF ANGELS,0.00,17.93,0.00,0.00,0.00,21.40,2.56,17.92
AUGUSTA TECH,16.67,14.29,0.00,0.00,25.00,35.05,6.90,32.78
FORT CREEK,40.00,14.84,7.14,0.00,16.67,20.28,18.75,18.69
DEARING UMC,0.00,15.60,15.38,0.00,0.00,25.26,4.35,22.73
VANDERHORST,0.00,23.37,0.00,0.00,50.00,41.03,11.76,29.57
SWEETWATER ACTIVITY,0.00,20.78,9.09,0.00,0.00,37.06,14.13,31.56
THOMSON DEPOT,0.00,16.16,12.50,0.00,0.00,30.98,1.82,17.97
MARSHALL CHURCH,0.00,36.15,16.67,50.00,0.00,39.26,14.71,38.01
WHITEOAK,0.00,28.42,0.00,0.00,0.00,32.60,9.68,30.19
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,6.82,19.59,8.54,16.67,11.11,32.68,9.41,26.74
