AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,1.700,3.010,0.670,0.00,2.440,2.860,1.400,2.700
25-29,2.260,3.140,0.340,0.00,0.830,1.730,1.170,2.180
30-34,1.540,5.040,0.400,5.880,1.050,3.230,1.340,3.610
35-39,1.540,7.520,0.910,0.00,4.390,4.810,2.630,5.540
40-44,5.290,11.01,1.450,0.00,3.850,7.020,3.150,8.140
45-49,2.480,15.97,2.260,0.00,8.660,8.810,3.460,11.04
50-54,3.330,19.37,2.290,0.00,8.400,11.60,5.910,14.11
55-59,5.520,24.67,5.060,28.57,9.650,14.44,6.850,17.61
60-64,4.920,32.21,5.880,8.330,12.50,19.11,9.540,22.83
65-OVER,7.520,40.98,8.760,18.75,13.27,24.47,14.21,28.56
TOTAL,3.440,16.22,1.830,5.070,4.450,12.16,4.050,12.77
