AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,4.000,0.00,0.00,0.00,22.33,13.33,17.83
25-29,0.00,1.940,0.00,0.00,25.00,17.26,6.150,13.71
30-34,0.00,4.210,12.50,0.00,0.00,23.11,10.45,18.93
35-39,0.00,8.620,33.33,0.00,0.00,25.77,12.07,21.43
40-44,33.33,9.090,0.00,0.00,0.00,33.69,5.450,27.92
45-49,0.00,13.82,0.00,0.00,0.00,37.83,24.39,33.18
50-54,0.00,10.37,16.67,100.0,0.00,40.36,17.02,34.03
55-59,50.00,13.01,0.00,0.00,0.00,42.99,22.92,37.12
60-64,0.00,19.79,0.00,0.00,100.0,41.57,7.690,37.52
65-OVER,50.00,27.72,50.00,50.00,33.33,56.35,30.61,51.69
TOTAL,15.00,13.64,7.690,33.33,11.90,38.59,14.47,33.11
