PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
WILSON,16.18,14.08,0.00,15.04
CHICOPEE,7.12,8.54,0.00,7.86
OAKWOOD I,8.12,8.87,0.00,8.52
OAKWOOD II,16.44,13.10,20.00,14.72
FLOWERY BRANCH I,13.15,11.31,0.00,12.13
FLOWERY BRANCH II,9.94,9.24,0.00,9.56
ROBERTS,7.84,7.13,0.00,7.46
MORGAN I,11.03,10.44,0.00,10.72
MORGAN II,13.89,11.42,0.00,12.59
CANDLER,11.31,11.83,0.00,11.57
TADMORE,7.05,5.13,20.00,6.04
GLADE,11.37,10.85,50.00,11.11
LULA,13.70,11.59,0.00,12.57
CLERMONT,20.50,16.04,0.00,18.14
QUILLIANS,21.89,19.71,0.00,20.74
BARK CAMP,14.92,12.71,0.00,13.74
CHESTATEE,16.87,12.84,0.00,14.73
FORK,16.63,14.89,0.00,15.73
WHELCHEL,18.66,14.90,25.00,16.72
WEST WHELCHEL,29.07,23.73,0.00,26.20
GAINESVILLE I,19.88,17.53,0.00,18.50
GAINESVILLE II,5.91,7.75,0.00,6.99
GAINESVILLE III,5.47,4.10,0.00,4.74
GAINESVILLE IV,15.24,12.60,0.00,13.79
GAINESVILLE V,14.46,11.19,0.00,12.59
GILLSVILLE,17.44,13.89,0.00,15.60
BIG HICKORY,23.40,20.00,0.00,21.63
FRIENDSHIP I,10.97,9.57,18.18,10.23
FRIENDSHIP II,9.12,6.86,0.00,7.97
FRIENDSHIP III,8.51,6.82,0.00,7.63
FRIENDSHIP IV,14.48,10.80,0.00,12.52
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
TOTAL,13.60,11.67,5.08,12.57
