PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
HAZLEHURST,0.00,22.27,6.06,0.00,0.00,21.43,6.90,21.12
ALTAMAHA 1,0.00,12.82,7.14,0.00,0.00,39.44,0.00,36.60
ALTAMAHA 2,20.00,0.00,0.00,0.00,50.00,48.06,15.00,46.61
BLACKBURN 1,33.33,10.26,4.65,0.00,0.00,25.64,23.08,21.95
BLACKBURN 2,0.00,14.29,60.00,0.00,0.00,35.41,33.33,35.23
WHITEHEAD 1,0.00,15.50,3.03,0.00,0.00,30.22,10.53,26.84
WHITEHEAD 2,0.00,28.12,15.38,0.00,0.00,24.88,12.50,24.62
OCMULGEE 1,0.00,12.42,12.50,0.00,20.00,33.06,6.25,29.84
OCMULGEE 2,0.00,20.73,0.00,0.00,0.00,26.32,14.29,25.00
TOTAL,13.33,18.92,7.78,0.00,8.33,33.10,12.69,29.85
