PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
001,13.39,11.61,0.00,12.46
002,18.95,16.42,0.00,17.64
003,23.13,21.94,0.00,22.53
004,24.27,20.01,0.00,22.04
005,16.38,15.72,0.00,16.03
006,8.570,8.230,0.00,8.390
007,13.32,11.60,0.00,12.42
008,23.74,22.30,50.00,23.02
009,13.65,15.34,0.00,14.52
010,16.67,16.36,0.00,16.49
011,10.34,7.450,0.00,8.760
012,10.47,9.110,0.00,9.700
013,20.26,18.74,0.00,19.46
014,18.88,20.35,0.00,19.62
015,12.95,12.04,0.00,12.47
016,9.120,8.260,0.00,8.670
018,17.69,14.78,25.00,16.22
019,19.31,17.02,0.00,18.10
020,21.64,17.85,0.00,19.68
021,18.68,17.25,0.00,17.95
022,18.85,16.38,0.00,17.55
023,10.50,9.290,0.00,9.850
024,11.09,10.85,0.00,10.95
026,9.400,7.920,0.00,8.580
027,20.66,18.98,0.00,19.78
028,18.66,17.14,0.00,17.88
029,9.440,9.920,0.00,9.690
030,27.19,24.24,0.00,25.67
031,18.95,17.15,0.00,17.98
032,16.87,16.07,20.00,16.45
033,25.00,23.41,0.00,24.22
034,18.69,17.14,33.33,17.92
035,21.86,19.83,0.00,20.83
036,17.40,16.09,33.33,16.71
037,16.74,14.95,100.0,15.80
038,20.94,17.92,50.00,19.38
039,21.43,19.44,0.00,20.40
040,16.19,15.71,0.00,15.94
041,21.81,20.03,0.00,20.90
042,17.24,16.13,0.00,16.64
043,10.46,10.87,0.00,10.67
044,11.43,10.22,0.00,10.78
TOTAL,16.07,14.52,12.73,15.26
