PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
88888,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00
ANNX,14.62,12.98,0.00,13.74
BMS,12.00,11.16,0.00,11.55
CENT,10.28,8.56,0.00,9.32
CGTC,10.74,10.79,0.00,10.76
FMMS,7.68,6.69,14.29,7.15
HAFS,11.41,10.33,0.00,10.84
HCTC,7.78,7.17,0.00,7.44
HEFS,11.85,13.70,0.00,12.81
HHPC,8.99,8.59,0.00,8.76
MCMS,7.55,7.17,0.00,7.34
MILL,12.45,10.24,0.00,11.23
NSES,11.90,10.79,0.00,11.32
RECR,5.82,5.24,0.00,5.48
ROZR,11.84,11.34,0.00,11.55
TMS,8.09,7.14,0.00,7.53
TWPK,10.66,9.21,0.00,9.88
VHS,9.55,8.01,0.00,8.74
TOTAL,9.72,8.79,2.04,9.21
