PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
BLOWING CAVE,0.00,1.15,0.00,0.00,0.00,13.87,7.14,11.78
CAIRO 4TH DISTR,0.00,9.79,7.14,0.00,9.09,14.19,1.90,10.24
CAIRO 5TH DISTR,5.00,7.54,3.03,0.00,4.35,17.31,6.12,13.05
DUNCANVILLE,0.00,16.81,0.00,0.00,0.00,10.19,0.00,11.33
HIGDON,0.00,4.95,0.00,0.00,0.00,11.42,5.26,9.51
LIMESINK,0.00,5.56,0.00,0.00,0.00,16.73,0.00,14.10
MIDWAY,0.00,6.04,0.00,0.00,0.00,14.44,0.00,12.51
PINE PARK,0.00,4.72,0.00,0.00,0.00,8.68,0.00,7.10
RAGAN,0.00,10.66,0.00,0.00,0.00,17.44,12.50,15.28
SPENCE,100.0,0.00,0.00,0.00,25.00,16.49,0.00,15.69
SPRING HILL,0.00,0.00,0.00,0.00,0.00,19.27,0.00,17.14
WHIGHAM,0.00,6.98,0.00,0.00,12.50,12.60,6.00,10.97
WOODLAND,0.00,2.68,0.00,0.00,12.50,15.67,0.00,14.02
TOTAL,4.00,8.10,1.74,0.00,7.32,14.74,2.93,12.17
