AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,1.470,2.240,0.720,0.00,2.070,5.050,2.150,3.500
25-29,0.00,0.480,1.400,0.00,2.520,3.500,1.320,2.690
30-34,0.00,2.920,0.940,0.00,5.330,4.930,2.760,4.070
35-39,2.560,3.190,1.060,0.00,3.530,7.210,2.930,5.760
40-44,0.890,2.280,1.330,0.00,0.00,8.900,4.040,7.220
45-49,1.820,4.860,1.960,14.29,8.700,11.77,4.020,9.830
50-54,3.530,6.910,2.560,0.00,3.850,14.28,5.260,12.21
55-59,6.900,7.590,3.290,0.00,6.150,16.49,6.520,14.45
60-64,3.030,12.25,2.480,50.00,5.560,20.68,8.670,18.66
65-OVER,2.580,14.22,2.630,16.67,13.43,28.14,14.94,26.08
TOTAL,2.180,5.840,1.470,4.290,4.500,15.32,5.230,12.57
