AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,2.780,1.150,0.00,0.00,1.790,3.730,3.640,3.560
25-29,5.260,0.00,0.00,0.00,0.00,2.970,1.690,2.710
30-34,0.00,1.160,2.440,0.00,10.00,5.050,2.800,4.600
35-39,4.350,1.080,0.00,0.00,0.00,7.750,4.850,7.110
40-44,4.170,3.120,3.230,0.00,5.880,9.910,3.350,8.960
45-49,0.00,3.750,8.820,0.00,13.04,12.43,6.650,11.64
50-54,11.11,6.820,0.00,0.00,8.330,15.23,5.200,14.09
55-59,19.05,10.17,9.090,0.00,0.00,18.15,9.280,17.31
60-64,0.00,9.430,13.33,0.00,0.00,20.66,10.86,19.60
65-OVER,9.090,18.75,0.00,0.00,8.330,28.67,13.47,27.50
TOTAL,5.330,5.700,2.700,0.00,4.110,14.97,5.730,13.67
