PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
CHAUN,40.68,37.68,0.00,39.06
CLARK,30.00,32.61,0.00,31.25
EDDIN,30.84,31.41,0.00,31.10
EMPIR,26.83,22.64,0.00,24.70
JAYBI,32.35,36.36,0.00,34.43
JONES,42.18,45.54,0.00,43.91
LEE,29.96,28.28,0.00,29.00
MCCRA,48.18,42.31,0.00,45.05
MILAN,42.45,27.78,0.00,34.17
MITCH,39.78,36.42,0.00,38.14
MULLI,23.93,23.72,0.00,23.82
PLAIN,41.92,42.64,0.00,42.28
PONDT,36.39,41.73,0.00,39.26
RAWLI,38.46,28.95,0.00,33.41
VILUL,57.14,49.37,0.00,53.53
YONKE,24.07,19.13,0.00,21.52
TOTAL,33.70,31.38,0.00,32.43
