RACE,MALE,FEMALE,UNKNOWN,TOTAL
UNKNOWN,5.760,2.630,0.00,4.350
OTHER,0.00,20.00,0.00,14.29
NATIVE-AM,0.00,0.00,0.00,0.00
HISP-LT,0.00,16.67,0.00,9.090
ASIA-PI,0.00,0.00,0.00,0.00
WHITE,13.48,12.41,0.00,12.90
BLACK,7.230,6.780,0.00,6.950
TOTAL,10.03,9.380,0.00,9.670
