AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.280,1.180,1.070,0.00,2.420,2.220,1.260,1.710
25-29,0.400,1.290,0.340,0.00,1.520,1.570,1.990,1.520
30-34,3.570,2.320,0.500,0.00,0.830,2.550,2.010,2.360
35-39,0.00,2.220,1.470,0.00,5.880,3.980,3.560,3.400
40-44,7.040,3.200,1.900,0.00,2.780,5.880,2.760,4.650
45-49,7.410,5.000,0.880,0.00,2.380,9.070,3.100,6.900
50-54,5.660,5.550,5.260,50.00,6.670,10.95,3.510,8.130
55-59,4.480,8.950,3.570,0.00,4.000,13.62,7.430,11.01
60-64,2.500,12.68,3.510,0.00,0.00,16.65,10.89,14.73
65-OVER,12.12,16.79,5.560,0.00,14.00,23.78,10.75,21.33
TOTAL,2.870,5.740,1.600,2.860,3.210,9.200,3.440,7.300
