AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,4.380,4.260,0.00,6.250,28.65,12.73,20.92
25-29,0.00,5.980,5.000,0.00,0.00,24.61,7.690,18.68
30-34,0.00,8.740,30.00,0.00,0.00,34.65,31.82,28.40
35-39,25.00,9.430,27.27,0.00,0.00,44.21,10.00,36.09
40-44,0.00,25.86,16.67,0.00,0.00,48.95,16.67,42.84
45-49,0.00,26.78,22.22,0.00,25.00,49.93,15.38,44.06
50-54,25.00,28.96,30.77,0.00,33.33,61.03,16.67,52.97
55-59,33.33,32.26,37.50,0.00,66.67,60.45,36.36,54.58
60-64,0.00,39.56,0.00,0.00,0.00,63.86,41.67,58.52
65-OVER,33.33,41.50,0.00,0.00,33.33,63.41,15.15,58.91
TOTAL,9.300,23.57,15.13,0.00,11.76,50.96,18.37,43.99
