PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
01A,16.88,17.45,0.00,17.15
01B,18.09,19.08,33.33,18.62
01C,5.24,6.89,0.00,6.15
01D,11.96,11.90,0.00,11.90
01E,17.70,19.32,0.00,18.50
01F,4.07,6.17,0.00,5.06
01G,8.54,9.49,0.00,9.04
01H,5.86,6.93,0.00,6.49
01I,100.0,0.00,0.00,100.0
01J,6.04,12.17,0.00,9.58
01P,8.19,13.18,0.00,11.04
01R,6.10,6.30,0.00,6.23
01S,6.39,10.54,0.00,8.73
01T,6.54,7.55,0.00,7.06
02A,5.81,5.49,0.00,5.66
02B,3.03,3.71,11.11,3.27
02C,8.09,7.36,0.00,7.74
02D,8.24,7.05,0.00,7.60
02E,15.07,16.00,0.00,15.53
02F1,10.28,8.26,0.00,9.25
02F2,5.94,4.85,0.00,5.38
02G,8.61,7.56,0.00,8.06
02J,7.50,7.29,0.00,7.40
02K,6.32,5.19,0.00,5.83
02L1,4.87,3.95,0.00,4.48
02L2,5.38,3.97,25.00,4.92
02S,8.90,8.71,0.00,8.79
02W,1.96,3.37,0.00,2.48
03A,8.37,8.02,0.00,8.16
03B,5.63,6.57,0.00,6.12
03C,6.87,14.29,0.00,10.78
03D,9.03,9.26,0.00,9.15
03E,5.98,8.93,0.00,7.45
03F,3.85,3.42,0.00,3.64
03G,7.76,6.54,0.00,7.09
03H,6.33,8.12,0.00,7.28
03I,1.58,0.60,0.00,1.24
03L,6.45,9.25,0.00,7.78
03M,4.61,8.50,0.00,5.88
03N,4.29,5.96,28.57,5.22
03P1A,2.47,2.41,0.00,2.44
03P2,0.00,0.00,0.00,0.00
03S,6.33,13.88,0.00,10.19
03T,4.80,5.75,0.00,5.23
04A,5.11,7.76,100.0,6.62
04B,3.90,1.97,0.00,2.46
04C,6.25,15.25,0.00,10.57
04D,10.19,14.92,0.00,12.71
04F,3.91,7.91,0.00,5.57
04G,4.91,8.29,0.00,6.62
04I,2.14,2.55,0.00,2.27
04J,2.38,0.71,0.00,1.30
04K,7.51,12.04,0.00,10.06
04L,6.91,11.54,0.00,9.32
04M,5.85,6.84,0.00,6.40
04S,13.05,15.15,100.0,14.29
04T,7.79,12.56,0.00,10.41
04V,3.93,6.45,0.00,5.28
04W,0.44,0.00,0.00,0.37
04X1,9.62,13.28,0.00,11.66
04X2,6.49,7.85,0.00,7.19
05A1,9.13,8.92,25.00,9.05
05A2,11.73,13.09,0.00,12.38
05B,6.49,9.07,0.00,7.78
05C,1.16,0.00,0.00,0.66
05D,1.47,1.53,0.00,1.49
05F,7.41,5.26,0.00,6.52
05J,13.07,10.88,0.00,12.00
05K,5.47,5.91,20.00,5.73
06B,8.08,6.37,0.00,7.21
06D,7.90,6.57,0.00,7.29
06E,8.28,7.07,0.00,7.77
06F,9.96,10.48,0.00,10.20
06G,11.64,8.80,0.00,10.33
06H,15.11,14.82,0.00,14.93
06I,2.62,2.17,0.00,2.40
06J,9.62,9.90,50.00,9.78
