AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,3.640,0.00,100.0,0.00,10.29,0.00,8.680
25-29,0.00,9.840,0.00,0.00,0.00,4.750,4.350,5.120
30-34,0.00,5.450,0.00,0.00,0.00,11.39,0.00,10.04
35-39,0.00,2.130,0.00,0.00,0.00,14.11,0.00,12.36
40-44,0.00,18.64,0.00,0.00,0.00,18.09,0.00,17.18
45-49,0.00,18.57,50.00,0.00,0.00,20.60,8.330,20.13
50-54,0.00,21.69,50.00,0.00,0.00,23.12,5.260,22.42
55-59,25.00,18.57,0.00,0.00,0.00,26.16,0.00,24.68
60-64,0.00,18.92,25.00,0.00,0.00,31.92,10.00,29.56
65-OVER,20.00,19.61,0.00,0.00,0.00,42.81,18.75,39.55
TOTAL,11.11,15.27,7.140,12.50,0.00,23.55,4.610,21.82
